,Entropía (Conf),Integridad (%),Tiempo Cifrado (ms),Tiempo Descifrado (ms)
AES-128-GCM,7.9995741701634495,100.0,0.6799888610839844,0.9206151962280273
AES-256-GCM,7.999562092237563,100.0,0.7152676582336426,0.7228922843933105
ChaCha20,7.999565904426139,100.0,0.7037711143493652,0.8254027366638184
